Polluant,valeur,Latitude,Longitude,nom site,Zas,Année
NO2,11.0,50.27936,3.97691,Maubeuge Joyeuse,ZR HAUTS-DE-FRANCE,2020
NO2,11.0,50.32276,3.39593,Denain Villars,ZAG BLDV,2020
NO2,5.0,50.09225,3.85003,Cartignies,ZR HAUTS-DE-FRANCE,2020
NO2,10.0,50.45647,3.42794,Saint Amand,ZAG BLDV,2020
NO2,16.0,45.79728,3.113833,Montferrand,ZAG CLERMONT-FERRAND,2020
NO2,16.0,45.772167,3.0875,Jardin Lecoq,ZAG CLERMONT-FERRAND,2020
NO2,3.0,46.652668,3.600667,Paray le Fresil,ZR AUVERGNE-RHONE-ALPES,2020
NO2,29.0,45.775696,3.09625,Clermont-Esplanade Gare,ZAG CLERMONT-FERRAND,2020
NO2,22.0,45.774728,3.062978,Chamalières Europe,ZAG CLERMONT-FERRAND,2020
NO2,9.0,46.659048,3.249247,Villeneuve sur Allier,ZAR MOULINS,2020
NO2,10.0,45.769,3.155,Beaulieu,ZAG CLERMONT-FERRAND,2020
NO2,8.0,44.92008,2.441082,Aurillac-Lagarde,ZR AUVERGNE-RHONE-ALPES,2020
NO2,27.0,45.780434,3.111592,Edouard Michelin,ZAG CLERMONT-FERRAND,2020
NO2,12.0,45.039001,3.887001,Le Puy-Causans,ZR AUVERGNE-RHONE-ALPES,2020
NO2,11.0,46.5619722,3.34063888888888,Moulins Centre,ZAR MOULINS,2020
NO2,12.0,46.340723,2.593945,Montluçon,ZR AUVERGNE-RHONE-ALPES,2020
NO2,12.0,46.130431,3.425694,Vichy,ZR AUVERGNE-RHONE-ALPES,2020
NO2,8.0,45.764111,3.046111,Royat Périurbaine,ZAG CLERMONT-FERRAND,2020
NO2,11.0,45.89674,3.122254,Riom Périurbaine,ZAG CLERMONT-FERRAND,2020
NO2,19.0,43.611302,3.86626,Montpellier Chaptal,ZAG MONTPELLIER,2020
NO2,32.0,43.6051,3.87464,Montpellier St Denis,ZAG MONTPELLIER,2020
NO2,15.0,43.5915,3.88681,Montpellier Prés d'Arènes,ZAG MONTPELLIER,2020
NO2,10.0,43.6758,4.08838,Lunel Viel,ZR OCCITANIE,2020
NO2,6.0,43.2875,3.50484,Agathois-piscénois,ZR OCCITANIE,2020
NO2,21.0,43.6096,3.89878,Pompignane,ZAG MONTPELLIER,2020
NO2,14.0,43.8344,4.3744,Nimes Gauzy,ZAR NIMES,2020
NO2,25.0,43.8299,4.36199,Nimes Planas,ZAR NIMES,2020
NO2,12.0,43.9254,4.26581,Nimes La Calmette,ZAR NIMES,2020
NO2,13.0,42.6835,2.90351,Perpignan Rigaud,ZAR PERPIGNAN,2020
NO2,16.0,42.6955,2.90053,Perpignan Les Carmes,ZAR PERPIGNAN,2020
NO2,13.0,46.162647,-1.153684,place de VERDUN,ZR NOUVELLE-AQUITAINE,2020
NO2,7.0,46.135134,-1.117086,Aytré,ZR NOUVELLE-AQUITAINE,2020
NO2,8.0,46.586958,0.358458,Les Couronneries,ZAR POITIERS,2020
NO2,14.0,45.60882,0.099722,La Couronne,ZR NOUVELLE-AQUITAINE,2020
NO2,17.0,46.329586,-0.458889,Niort Ferry,ZAR NIORT,2020
NO2,12.0,45.647428,0.167162,Square Pablo Casals,ZR NOUVELLE-AQUITAINE,2020
NO2,21.0,45.651464,0.162391,ANGOULEME-GAMBETTA,ZR NOUVELLE-AQUITAINE,2020
NO2,6.0,46.824368,-0.135461,AIRVAULT 2,ZR NOUVELLE-AQUITAINE,2020
