Polluant,valeur,Latitude,Longitude,nom site,Zas,Année
PM10,12.0,44.92008,2.441082,Aurillac-Lagarde,ZR AUVERGNE-RHONE-ALPES,2022
PM10,13.0,45.039001,3.887001,Le Puy-Causans,ZR AUVERGNE-RHONE-ALPES,2022
PM10,9.0,44.98377,4.226006,Pays du Mezenc,ZR AUVERGNE-RHONE-ALPES,2022
PM10,16.0,46.5619722,3.34063888888888,Moulins Centre,ZR AUVERGNE-RHONE-ALPES,2022
PM10,15.0,46.340723,2.593945,Montluçon,ZR AUVERGNE-RHONE-ALPES,2022
PM10,14.0,46.130431,3.425694,Vichy,ZR AUVERGNE-RHONE-ALPES,2022
PM10,15.0,45.89674,3.122254,Riom Périurbaine,ZAG CLERMONT-FERRAND,2022
PM10,16.0,43.5915,3.88681,Montpellier Prés d'Arènes,ZAG MONTPELLIER,2022
PM10,16.0,43.6758,4.08838,Lunel Viel,ZR OCCITANIE,2022
PM10,21.0,43.6096,3.89878,Pompignane,ZAG MONTPELLIER,2022
PM10,15.0,43.8344,4.3744,Nimes Gauzy,ZAR NIMES,2022
PM10,22.0,43.8299,4.36199,Nimes Planas,ZAR NIMES,2022
PM10,15.0,42.6835,2.90351,Perpignan Rigaud,ZAR PERPIGNAN,2022
PM10,16.0,42.6955,2.90053,Perpignan Les Carmes,ZAR PERPIGNAN,2022
PM10,18.0,46.162647,-1.153684,place de VERDUN,ZR NOUVELLE-AQUITAINE,2022
PM10,18.0,46.135134,-1.117086,Aytré,ZR NOUVELLE-AQUITAINE,2022
PM10,14.0,46.586958,0.358458,Les Couronneries,ZR NOUVELLE-AQUITAINE,2022
PM10,15.0,45.647428,0.167162,Square Pablo Casals,ZR NOUVELLE-AQUITAINE,2022
PM10,20.0,45.651464,0.162391,ANGOULEME-GAMBETTA,ZR NOUVELLE-AQUITAINE,2022
PM10,20.0,46.161632,-1.211229,La Pallice3 LR,ZR NOUVELLE-AQUITAINE,2022
PM10,14.0,46.143234,-0.395913,Zoodyssée Chizé,ZR NOUVELLE-AQUITAINE,2022
PM10,15.0,46.320028,-0.482861,Niort Venise,ZR NOUVELLE-AQUITAINE,2022
PM10,16.0,46.823796,-0.135634,AIRVAULT - Stade Laillé,ZR NOUVELLE-AQUITAINE,2022
PM10,20.0,46.333881,-0.471878,Niort - Tassigny,ZR NOUVELLE-AQUITAINE,2022
PM10,22.0,46.591231,0.34039,Poitiers-Le Nain,ZR NOUVELLE-AQUITAINE,2022
PM10,15.0,46.583998,0.345582,Poitiers Centre  Augouard,ZR NOUVELLE-AQUITAINE,2022
PM10,18.0,51.04858,2.42004,Malo-les-Bains,ZAR COTE-D-OPALE,2022
PM10,21.0,51.01943,2.25099,Mardyck,ZAR COTE-D-OPALE,2022
PM10,19.0,50.94729,1.84308,Calais Berthelot,ZAR COTE-D-OPALE,2022
PM10,25.0,51.032761,2.332358,St Pol mer - cheminots,ZAR COTE-D-OPALE,2022
PM10,21.0,50.94989,1.76917,Sangatte,ZAR COTE-D-OPALE,2022
PM10,19.0,50.9578,1.89008,Calais Parmentier,ZAR COTE-D-OPALE,2022
PM10,21.0,50.98106,2.14317,Gravelines PC/Drire,ZAR COTE-D-OPALE,2022
PM10,20.0,50.99594,2.36627,Cappelle la Grande,ZAR COTE-D-OPALE,2022
PM10,22.0,50.717029,1.605913,Boulogne Diderot,ZAR COTE-D-OPALE,2022
PM10,18.0,50.69435,1.57657,Outreau,ZAR COTE-D-OPALE,2022
PM10,25.0,51.02446,2.30215,Grande-synthe,ZAR COTE-D-OPALE,2022
PM10,17.0,50.74823,2.25978,St Omer Ribot,ZAR COTE-D-OPALE,2022
PM10,16.0,50.61048,1.99145,Campagne les B.,ZR HAUTS-DE-FRANCE,2022
PM10,21.0,50.67003,3.07656,Marcq CTM,ZAG LILLE,2022
PM10,10.0,50.62805,3.09031,Lille Fives,ZAG LILLE,2022
PM10,23.0,50.706535,3.18066,Roubaix Serres,ZAG LILLE,2022
PM10,17.0,43.575694,1.418064,ECOLE M.JACQUIER,ZAG TOULOUSE,2022
PM10,11.0,43.6287,0.179069,PEYRUSSE,ZR OCCITANIE,2022
PM10,16.0,43.623606,1.438531,Toulouse Mazades,ZAG TOULOUSE,2022
PM10,15.0,43.927769,2.145897,ALBI DELMAS,ZR OCCITANIE,2022
PM10,18.0,43.587344,1.444003,Toulouse Berthelot,ZAG TOULOUSE,2022
PM10,19.0,43.561581,1.393261,EISENHOWER SETMI,ZAG TOULOUSE,2022
PM10,20.0,43.556375,1.403964,CHAPITRE SETMI,ZAG TOULOUSE,2022
